symbol,zerodha_symbol
HDFCBANK,HDFCBANK
ICICIBANK,ICICIBANK
SBIN,SBIN
AXISBANK,AXISBANK
KOTAKBANK,KOTAKBANK
TCS,TCS
INFY,INFY
WIPRO,WIPRO
HCLTECH,HCLTECH
TECHM,TECHM
ITC,ITC
HINDUNILVR,HINDUNILVR
NESTLEIND,NESTLEIND
BRITANNIA,BRITANNIA
MARUTI,MARUTI
TATAMOTORS,TMPV
M&M,M&M
BAJAJ-AUTO,BAJAJ-AUTO
RELIANCE,RELIANCE
ONGC,ONGC
BPCL,BPCL
LT,LT
ADANIPORTS,ADANIPORTS
ULTRACEMCO,ULTRACEMCO
SUNPHARMA,SUNPHARMA
DRREDDY,DRREDDY
CIPLA,CIPLA
BHARTIARTL,BHARTIARTL
NIFTYBEES,NIFTYBEES
BANKBEES,BANKBEES
ITBEES,ITBEES
JUNIORBEES,JUNIORBEES
GOLDBEES,GOLDBEES
