seed,hedge_count,mean_excess_vs_rebalanced_benchmark_annualized,folds_beating_rebalanced_benchmark
0,25,-0.00025665304432911375,5
1,25,-0.0008591446694263816,6
2,25,0.008116813285093394,8
3,25,-0.003165156433956062,4
4,25,-0.00023106970251787206,4
5,25,0.011897756092208023,8
6,25,-0.002207813287536886,5
7,25,-0.0030993488667330872,6
8,25,0.0022351366086502235,5
9,25,-0.0022005714421574284,3
10,25,-0.004434353552911696,5
11,25,0.0008528301985972098,4
12,25,0.001915166460070683,6
13,25,0.009701865983135738,7
14,25,0.0014957273714678253,5
15,25,-0.0013793536678268436,6
16,25,-0.002915523808319631,5
17,25,0.0010760619398660575,4
18,25,0.009112022083759285,6
19,25,0.007212418526220099,7
20,25,0.006835124338296239,8
21,25,0.0030194589086954492,5
22,25,-0.0010502151068490396,4
23,25,0.004266214315406036,5
24,25,0.0013085972870743201,6
25,25,0.009542576366574318,7
26,25,0.008959497331805188,8
27,25,0.007237103631322706,6
28,25,0.0040108472567340295,6
29,25,0.006983727606713263,4
30,25,0.004973617039022849,6
31,25,0.008729615003178693,6
32,25,-0.0009394197839963647,3
33,25,0.008359337220349716,7
34,25,0.007865857572534062,7
35,25,-0.0010854117223596527,3
36,25,-0.001143995376184892,5
37,25,-0.001752437267703577,4
38,25,2.2118646764901496e-05,6
39,25,-0.010264676175035691,3
40,25,-0.001493349934003374,3
41,25,-0.00780652763794859,4
42,25,0.002829997751948421,5
43,25,-0.000635181223862058,5
44,25,0.013547275301384687,9
45,25,-0.00831320485879956,3
46,25,0.0009987393999262406,3
47,25,0.0026937395830038736,5
48,25,-0.0072375710257453815,3
49,25,0.008481766873935393,7
50,25,0.003946278151114846,6
51,25,-0.0019164855843127992,5
52,25,0.006617358972362808,6
53,25,-0.00819219799709453,4
54,25,-0.004387643839994526,3
55,25,0.0020778840491844754,6
56,25,-0.005948021543425885,5
57,25,-0.0014718334303448822,4
58,25,-0.006482785282986514,3
59,25,0.007211607912930029,8
60,25,0.0009802128536168576,6
61,25,0.003915929244427829,7
62,25,0.000262730942001943,5
63,25,-0.013665822827741847,1
64,25,0.0031854341104805674,6
65,25,-0.0019692384111227755,3
66,25,0.002215667096246188,7
67,25,0.008519738927587794,6
68,25,-0.0005549636336995012,5
69,25,0.004022048394955113,7
70,25,0.002788588035771822,6
71,25,0.001343771606983879,6
72,25,0.00606616644077379,8
73,25,0.002434959795893132,6
74,25,0.0025143905189291215,6
75,25,0.003211026787690474,6
76,25,-0.004766504690606077,4
77,25,-0.004183886306479578,3
78,25,0.0035501934748358942,5
79,25,0.0001873456576383159,5
80,25,0.006512072357790022,7
81,25,-0.010884544862408464,2
82,25,-0.0033124668225801733,4
83,25,-0.0014806161114586547,3
