zip_path,read_status,error,raw_rows,nifty_option_rows,trade_date,min_expiry,max_expiry,min_strike,max_strike,traded_rows
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo01JAN2015bhav.csv.zip,ok,,28952,2108,2015-01-01,2015-01-29,2019-12-26,2700.0,11000.0,163
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo02JAN2015bhav.csv.zip,ok,,28984,2108,2015-01-02,2015-01-29,2019-12-26,2700.0,11000.0,183
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo05JAN2015bhav.csv.zip,ok,,29094,2112,2015-01-05,2015-01-29,2019-12-26,2700.0,11000.0,181
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo06JAN2015bhav.csv.zip,ok,,29272,2112,2015-01-06,2015-01-29,2019-12-26,2700.0,11000.0,192
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo07JAN2015bhav.csv.zip,ok,,29324,2114,2015-01-07,2015-01-29,2019-12-26,2700.0,11000.0,200
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo08JAN2015bhav.csv.zip,ok,,29396,2114,2015-01-08,2015-01-29,2019-12-26,2700.0,11000.0,189
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo09JAN2015bhav.csv.zip,ok,,29470,2114,2015-01-09,2015-01-29,2019-12-26,2700.0,11000.0,196
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo12JAN2015bhav.csv.zip,ok,,29506,2114,2015-01-12,2015-01-29,2019-12-26,2700.0,11000.0,195
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo13JAN2015bhav.csv.zip,ok,,29594,2114,2015-01-13,2015-01-29,2019-12-26,2700.0,11000.0,194
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\data\nse_fno_bhavcopy\2015\01\fo14JAN2015bhav.csv.zip,ok,,29642,2114,2015-01-14,2015-01-29,2019-12-26,2700.0,11000.0,207
