source,scope,line,endpoint,finding_type,severity,fail_flag,text_excerpt
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_zerodha_quote_only_collector,18644,quote,allowed_data_endpoint_reference,info,False,"""note"": ""Quote-only Zerodha collector. Uses market-data quote endpoints only; never places orders."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_zerodha_quote_only_collector,18689,instruments,allowed_data_endpoint_reference,info,False,"dump = kite_call_with_retry(get_authenticated_kite().instruments, ""NFO"")"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_zerodha_quote_only_collector,18692,instruments,allowed_data_endpoint_reference,info,False,"main_logger.warning(""[TB11-T24] Unable to load NFO instruments for symbol resolution: %s"", exc)"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_zerodha_quote_only_collector,18768,quote,allowed_data_endpoint_reference,info,False,"quotes.update(kite_call_with_retry(kite_client.quote, chunk))"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_current_nfo_leg_resolver,19049,quote,allowed_data_endpoint_reference,info,False,"""Zerodha Kite session could not be authenticated for quote-only resolution."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_current_nfo_leg_resolver,19057,quote,allowed_data_endpoint_reference,info,False,"spot_quotes = kite_call_with_retry(kite_client.quote, [""NSE:NIFTY 50""])"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_current_nfo_leg_resolver,19067,quote,allowed_data_endpoint_reference,info,False,"""Could not fetch a valid NSE:NIFTY 50 quote from Zerodha."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_current_nfo_leg_resolver,19073,instruments,allowed_data_endpoint_reference,info,False,"nfo_df = pd.DataFrame(kite_call_with_retry(kite_client.instruments, ""NFO""))"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase1_observation_ledger,19283,quote,allowed_data_endpoint_reference,info,False,"""note"": ""Appends quote-only T24 captures into a Phase 1 evidence ledger. No broker orders."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase1_observation_ledger,19307,quote,allowed_data_endpoint_reference,info,False,"print(""[TB11-T26] missing today's T24 quote capture; ledger summary saved."", flush=True)"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase1_observation_ledger,19415,quote,allowed_data_endpoint_reference,info,False,"print(""[TB11-T26] no quote-attempted capture rows; ledger summary saved."", flush=True)"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase1_auto_quote_observation,19515,quote,allowed_data_endpoint_reference,info,False,"""sequence"": ""T25 current NFO resolver -> T24 quote-only collector -> T26 append-only observation ledger"","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_phase1_auto_quote_observation,19517,quote,allowed_data_endpoint_reference,info,False,"""note"": ""Fully automated quote-only observation sequence. Broker orders remain blocked."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,19920,quote,allowed_data_endpoint_reference,info,False,"""note"": ""Current-expiry NIFTY chain-band quote collector. Quote-only; broker orders remain blocked."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,19987,quote,allowed_data_endpoint_reference,info,False,"""Zerodha Kite session could not be authenticated for quote-only chain-band collection."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,19992,quote,allowed_data_endpoint_reference,info,False,"spot_packet = kite_call_with_retry(kite_client.quote, [spot_instrument]).get(spot_instrument, {})"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,19998,quote,allowed_data_endpoint_reference,info,False,"""NIFTY spot quote was unavailable for chain-band strike selection."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,20004,quote,allowed_data_endpoint_reference,info,False,"""NIFTY spot quote did not contain a positive last_price."","
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,20009,instruments,allowed_data_endpoint_reference,info,False,"nfo_df = pd.DataFrame(kite_call_with_retry(kite_client.instruments, ""NFO""))"
C:\Ramgo\Business\Trading\India2026\Gitrade1\ctrade1\ssell1.py,run_tb11_options_nifty_chain_band_quote_collector,20104,quote,allowed_data_endpoint_reference,info,False,"quotes.update(kite_call_with_retry(kite_client.quote, chunk))"
