collection_date_ist,observed_timestamp_ist,underlying,spot_source,spot_last_price,spot_timestamp,expiry_date,days_to_expiry,band_low,band_high,tradingsymbol,instrument_token,strike,option_type,moneyness_pct,quote_source,quote_timestamp,quote_age_seconds,bid,ask,mid,last_price,volume,oi,spread_points,spread_pct,all_quote_available,quote_freshness_pass,spread_quality_pass,broker_order_allowed,order_route,selection_reason
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672122300PE,14661634,22300.0,PE,-0.07990964135042855,kite_quote_api,2026-07-17 09:46:07,1.668354,1.25,1.3,1.275,1.3,471770,426595,0.050000000000000044,0.03921568627450984,True,True,True,False,blocked_no_broker_call,selected_profile_leg_supplement
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123050CE,14669058,23050.0,CE,-0.04896489834651918,kite_quote_api,2026-07-17 09:46:00,8.668354,1043.45,1231.3,1137.375,989.05,0,130,187.8499999999999,0.16516100670403333,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123050PE,14669314,23050.0,PE,-0.04896489834651918,kite_quote_api,2026-07-17 09:46:07,1.668354,3.05,3.1,3.075,3.05,2530125,1113060,0.050000000000000266,0.0162601626016261,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123100CE,14669570,23100.0,CE,-0.046901915479591993,kite_quote_api,2026-07-17 09:46:07,1.668354,1108.1,1114.45,1111.275,1110.0,195,31330,6.350000000000136,0.005714157161818754,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123100PE,14669826,23100.0,PE,-0.046901915479591993,kite_quote_api,2026-07-17 09:46:07,1.668354,3.35,3.4,3.375,3.35,6883370,3460145,0.04999999999999982,0.014814814814814762,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123150CE,14670082,23150.0,CE,-0.044838932612664695,kite_quote_api,2026-07-17 09:46:01,7.668354,951.75,1137.35,1044.55,892.25,0,130,185.5999999999999,0.17768417021683972,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123150PE,14670338,23150.0,PE,-0.044838932612664695,kite_quote_api,2026-07-17 09:46:07,1.668354,3.6,3.65,3.625,3.65,2796950,1258205,0.04999999999999982,0.013793103448275813,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123200CE,14670594,23200.0,CE,-0.042775949745737396,kite_quote_api,2026-07-17 09:46:07,1.668354,1011.5,1014.15,1012.825,1014.15,1950,17030,2.6499999999999773,0.0026164441043615406,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123200PE,14670850,23200.0,PE,-0.042775949745737396,kite_quote_api,2026-07-17 09:46:07,1.668354,3.9,3.95,3.925,3.95,10433020,6846385,0.050000000000000266,0.012738853503184782,True,True,True,False,blocked_no_broker_call,spot_band
2026-07-17,2026-07-17T09:46:08.668354+05:30,NIFTY,NSE:NIFTY 50,24236.75,2026-07-17 09:46:06,2026-07-21,4,23024.9125,25448.5875,NIFTY2672123250CE,14671106,23250.0,CE,-0.0407129668788101,kite_quote_api,2026-07-17 09:46:07,1.668354,959.6,966.25,962.925,969.65,390,780,6.649999999999977,0.00690604148817403,True,True,True,False,blocked_no_broker_call,spot_band
