scope,thesis_or_branch,best_experiment_id,best_policy,best_baseline_return,revalidation_status,reason_one_liner,next_best_action
PreBatch,E211_Incumbent,E209,SIGNAL_E211_BANDED_68,0.0001012555869542,not_required_now,Already revalidated and still best under realistic and lower-friction cash-equity settings,Keep as incumbent control in every baseline
PreBatch,AblationGrid,E610,SIGNAL_E605_BANDED_70,-0.0025437064136297,not_required_now,Research was strong but executable loss is too deep for cost recalibration to be the main rescue path,Do not reopen before cheaper-instrument evidence exists
PreBatch,E302_Broader,E302,, ,not_required_now,Research-only branch never established a stable executable winner and was superseded by cleaner later branches,Do not reopen
PreBatch,GeneralizationNext,E401,, ,not_required_now,Good research quality but no executable winner and later branches provided stronger direct evidence,Do not reopen
PreBatch,GeneralizationWave2,E415,, ,not_required_now,Interesting research branch but never earned executable promotion and later work was more decision-useful,Do not reopen
PreBatch,CrossSectional60m,E504,SIGNAL_E501_BANDED_64,-5.3e-05,not_required_now,Near-flat result exists but the cleaner revalidation path is the dedicated portfolio wrapper branch rather than this older single-name framing,Prefer PortfolioRankLongOnly instead
PreBatch,MarketState60m,E804,SIGNAL_E801_BANDED_70,6.551674502293843e-05,required_after_futures,Cost-sensitivity showed E801 is the nearest 60m challenger but it still trails E211 under plausible cash-equity costs,Retest under stock-futures cost profile
PreBatch,SetupRegime,E705,SIGNAL_E703_BANDED_66,-0.000588,not_required_now,Executable loss is too clear relative to the incumbent and later branches dominate the recheck queue,Do not reopen
PreBatch,Multiscale60m,E904,SIGNAL_E906_LONGONLY,-0.00013673654677064467,not_required_now,Research was alive but turnover and trade count are high enough that this is weaker than E801 and E1802 as a recalibration candidate,Do not reopen now
PreBatch,SecondTimeframe60m,E1103,SIGNAL_E1102_BANDED_70,-0.002940647336537999,not_required_now,Fresh cost-sensitivity still left E1102 clearly negative even in fees-only and frictionless cases,Close decisively
PreBatch,IntrahourPathV1,E1203,SIGNAL_E1201_BANDED_70,-0.0032870513110872172,not_required_now,Executable gap is far too wide for friction calibration alone to matter,Do not reopen
PreBatch,Native15mExecution,E1501,SIGNAL_E1502_BANDED_66,-0.000173024165662,not_required_now,The earlier positive blip already failed broader validation so a pure rerun would be weaker than newer candidates,Do not reopen now
PreBatch,PortfolioRank60m,E1003,E1006_PORTFOLIO_TOP3_BOTTOM3,-0.0021876061506643633,required_now,Out-of-sample IC is real and the failure is clearly wrapper and turnover dominated rather than signal-absent,Implement long-only low-turnover wrapper next after futures cost audit
TB01,TB01_T01_Native15mFailedBreakout,E1602,SIGNAL_E1601_BANDED_70,-5.820192894889364e-05,not_required_now,The least-bad executable policy is too sparse to matter so a rerun would not answer a meaningful trading question,Do not reopen
TB01,TB01_T02_Native15mOpenDrive,E1702,SIGNAL_E1701_BANDED_70,-0.0006190150485907,secondary_after_futures,Research was alive and activity was real but the loss is still larger than the best near-boundary candidates,Consider futures-profile retest only after E801 and E1802
TB01,TB01_T03_Native15mSessionPhase,E1803,SIGNAL_E1802_BANDED_70,-0.0001341339035688,required_after_futures,This remains the strongest 15m near-boundary branch with very strong research and manageable trade count,Retest under cheaper instrument costs after futures mode is proven
TB01,TB01_T04_Native15mHoldingHorizon,E1903,SIGNAL_E1902_BANDED_70,-0.0016108139104049,required_later_design_sweep,The current executable variant is too negative for a simple rerun but the branch still deserves a hold-and-threshold redesign test,Run TB03_T05 instead of naive revalidation
TB01,TB01_T05_Native15mTopKEventRank,E2003,, ,not_required_now,Live baseline already showed the wrong economic shape and only a marginal long-only slice had any life,Do not rerun until a new wrapper or gating idea exists
TB01,TB01_T06_Native15mMeanReversionExhaustion,E2104,SIGNAL_E2104_LONGONLY,-0.0004467734528908,not_required_now,This branch already got the fairest treatment by winning an initial compare and then failing broader validation,Do not reopen now
TB01,TB01_T07_SixtyMinuteDailyContext,E2201,SIGNAL_E2201_BANDED_70,-0.0018261473995522,not_required_now,Daily-context economics were too negative and too concentrated for cost recalibration to be the main bottleneck,Do not reopen
TB01,TB01_T08_Native15mBreadthEvent,E2302,SIGNAL_E2302_BANDED_70,-0.00044532045311487247,not_required_now,Research survived honestly but executable loss stayed clear and looser bands only worsened it,Do not reopen now
TB01,TB01_T09_EventConditionedSizingVeto,E2403,SIGNAL_E2403_E211_EVENT_CONTEXT_VETO,6.986428963125287e-05,required_later_overlay,The overlay stayed positive and near-incumbent so it remains valuable only after the underlying instrument and cost stack are chosen,Revisit as overlay on whichever base policy survives Batch 03
TB02,TB02_T01_CrossSectionalCommonalityResidual,E2501,SIGNAL_E2501_BANDED_66,1.0075225258618678e-05,not_required_now,Executable edge was tiny and too sparse even before benchmark comparison so the branch is not a serious revalidation candidate,Do not reopen
TB02,TB02_T02_IntradayVolumeLiquidityForecast,E2601,SIGNAL_E2601_BANDED_70,-0.0007258334009476,not_required_now,Research improved but turnover still crushed economics so this is behind portfolio and futures work in the queue,Do not reopen now
TB02,TB02_T03_EventOutcomeAccounting,E2805,, ,not_required_now,The control showed predictive separation with negative payoff so the label itself did not rescue the economics,Do not reopen
TB02,TB02_T04_RegimeSpecificIncumbentVeto,AUDIT_ONLY,SIGNAL_E211_BANDED_68,0.0001012555869542,retain_for_overlay_not_rebaseline,This branch produced useful loser-regime audit artifacts but not a strong enough separable overlay to promote immediately,Keep the audit outputs as overlay evidence for later use
