Branch,BestResearchExperimentID,ResearchFamily,ResearchAUC,ResearchBalancedAccuracy,ResearchICSpearman,ResearchSpreadTopBottom,GapAUC,GapBalancedAccuracy,GapICSpearman,GapSpreadTopBottom,ResearchTradeCount,SelectionScore,BestBaselinePolicy,BestBaselineReturn,BestBaselineTurnover,BestBaselineTrades,PositiveTickers,ZeroTickers,NegativeTickers,TopPositiveShare,BenchmarkPolicy,BenchmarkReturn,ExcessVsBenchmark,Decision,Comments
E211_Incumbent,E209,TrendRegime,0.5705926545865535,0.5557556151616982,,0.0034815093194337,0.0719356673450541,0.0577460838611612,,0.0033366468251867,1599.7108223689113,0.1331632605256491,SIGNAL_E211_BANDED_68,0.0001012555869542,0.7253086414654063,1.2222222222222223,6,15,6,0.5077281360114387,SIGNAL_E211_BANDED_68,0.00010125558695426664,0.0,benchmark_only,Fresh rerun exactly matched initial baseline metrics; bucket diagnostic also showed stronger raw signal quality than E801
AblationGrid,E610,,0.6216360625532895,0.6014410952148785,,0.0005860384676606,0.1192316706511871,0.099518836751881,,0.0004815471648818,3240.0,0.2193365458707287,SIGNAL_E605_BANDED_70,-0.0025437064136297,0.5771902024577813,2.0,4,11,12,0.651340183179915,SIGNAL_E211_BANDED_68,0.00010125558695426664,-0.0026449620005839667,benchmark_only,Strong research map but weak executable baseline
E302_Broader,E302,,0.576299261557544,0.559171489966783,,0.0037837633225782,0.0717642019169384,0.0567529872800987,,0.0037371229235139,3240.0,,,,,,,,,,,SIGNAL_E211_BANDED_68,0.00010125558695426664,,research_only,Research branch retained but no consolidated baseline winner available
GeneralizationNext,E401,T4_SetupQuality,0.6231478158795903,0.600064421273122,,0.0006564016182846,0.1226087247575703,0.0998538036623037,,0.0005053571595512,3240.0,,,,,,,,,,,SIGNAL_E211_BANDED_68,0.00010125558695426664,,research_only,Good research quality but no promotable baseline winner
GeneralizationWave2,E415,FailedBreakout,0.5792609858266172,0.5575061694355182,,0.0002316169285036,0.0809410922973842,0.0593319391430542,,0.0001218054337041,689.8110669202836,0.1405046483689421,,,,,,,,,,,SIGNAL_E211_BANDED_68,0.00010125558695426664,,research_only,Interesting branch but not baseline-promoted
Native15mMeanReversionExhaustion,E2104,FailedExtensionReversal,0.6265938631210183,0.5980002041979453,,0.0006549395917038567,0.12966191810394573,0.09889538538269882,,0.0003404586498866364,350.75813732478025,0.2292122430783484,SIGNAL_E2104_LONGONLY,-0.0004467734528908,0.1431529858902565,6.314814814814815,8,0,19,0.374672210834352,SIGNAL_E211_BANDED_68,0.00010125558695426664,-0.0005480290398450667,research_only,Initial direct compare looked promising, but wider validation turned negative with 8 positive vs 19 negative tickers; branch failed broader validation
CrossSectional60m,E504,RelativeMeanReversion,0.5639970319722952,0.5470277018197194,,0.0034712595561987,0.065732239606746,0.0492974406437424,,0.00366748096037,1319.6908546376314,0.1185009398066873,SIGNAL_E501_BANDED_64,-5.3e-05,,,0,0,0,0.0,SIGNAL_E211_BANDED_68,0.00010125558695426664,-0.00015423373803975625,research_only,Research survived but baseline stayed below incumbent
MarketState60m,E804,TransitionSetup,0.6182,0.5901,,0.00056,0.12110642419526985,0.09270341157940581,,,2054.2867212980605,,SIGNAL_E801_BANDED_70,6.551674502293843e-05,0.7182539677591095,1.4814814814814814,,,,,SIGNAL_E211_BANDED_68,0.0001012555869542606,-3.573884193132218e-05,research_only,Best non-incumbent per-ticker baseline but still below E211; bucket diagnostic also showed weaker raw signal quality than E211
SetupRegime,E705,RelativeStrengthCarry,0.5967324407228456,0.5736149433137668,,0.0007174994830208579,0.09712624739569287,0.07222354536859787,,0.0008721768141185238,1652.8971836894102,,SIGNAL_E703_BANDED_66,-0.000588,,,,,,,SIGNAL_E211_BANDED_68,0.00010125558695426664,-0.0006892555869542667,research_only,Best setup-regime baseline remained negative
Multiscale60m,E904,CompressionSetup,0.6221533315370533,0.5873824879119086,,0.0009422937348831464,0.12315992112913349,0.08660676254563204,,0.0007259214023563696,1565.8717808219178,0.21070897740964867,SIGNAL_E906_LONGONLY,-0.00013673654677064467,0.487992695515446,11.592592592592593,,,,,SIGNAL_E211_BANDED_68,0.0001012555869542606,-0.00023799213372490527,research_only,Academic-looking signal but monetization failed
SecondTimeframe60m,E1103,StateVolContext,0.625342086976154,0.5985029265448313,,0.00040142630135806527,0.12287554323028793,0.09743727735408947,,0.00025581839124980355,3240.0,0.22071424688573546,SIGNAL_E1102_BANDED_70,-0.002940647336537999,1.1761232054248039,5.37037037037037,7,2,18,0.2915401786092184,SIGNAL_E211_BANDED_68,0.0001012555869542606,-0.0030419029234922597,research_only,True 15m context improved research quality but baseline stayed materially below E211 with higher turnover
IntrahourPathV1,E1203,FailedBreakoutRejection,0.6245042693445073,0.5991735097773333,,0.0004940256751741847,0.12414021340120718,0.09905886319613155,,0.0004840414987739591,3240.0,0.2236931022725129,SIGNAL_E1201_BANDED_70,-0.0032870513110872172,1.230305701945708,4.555555555555555,5,3,19,,SIGNAL_E211_BANDED_68,0.0001012555869542606,-0.003388306898041478,research_only,Intrahour path information improved research quality but still produced higher-turnover and materially worse executable baselines than E211
"Native15mExecution","E1501","Direct15mContinuation","0.5656119939057195","0.547871000447292","","0.004710716218375481","0.06589125956848801","0.04733930455259305","","0.005026775307983514","6741.88202983546","0.11794128033945656","SIGNAL_E1502_BANDED_66","-0.000173024165662","0.2102272669150549","0.6049382716049383","6","65","10","","SIGNAL_E211_BANDED_68","0.0001012555869542606","-0.0002742797526162606","research_only","Native 15m research was clearly alive, but E1501 failed direct baseline comparison, E1502's initial positive blip collapsed under broader validation, and native-15m E102/E211 remained inert or non-competitive"
"Native15mFailedBreakout","E1602","SessionAwareBreakoutFailure","0.5750242309686432","0.5537999010069146","","0.0026510840805298846","0.07548088956747323","0.05374497093167008","","0.002317394575631361","6741.906817530619","0.1318769445796732","SIGNAL_E1601_BANDED_70","-5.820192894889364e-05","0.0370370370061728","0.0493827160493827","0","79","2","0.0","SIGNAL_E211_BANDED_68","0.0001012555869542606","-0.00015945751590315424","research_only","E1602 was the clear research leader, but the executable baseline stayed below flat; E1601 was too sparse and E1602 was active but clearly negative"
"Native15mOpenDrive","E1702","OpeningRangePersistence","0.5770899622388297","0.5565408256687087","","0.0014270931107690785","0.07579746267160625","0.056019565220787215","","0.0013843594890571036","3236.157113038913","0.13324412100316255","SIGNAL_E1701_BANDED_70","-0.0006190150485907","0.6599287240967253","4.308641975308642","11","30","40","0.2777187829742741","SIGNAL_E211_BANDED_68","0.0001012555869542606","-0.0007202706355449606","research_only","Open-drive research was alive and baseline activity was real, but the best executable policy still stayed net negative after costs and did not challenge the incumbent"
"Native15mSessionPhase","E1803","RelativeSessionPressure","0.6341835397008408","0.6081429351342786","","0.0008386969864369726","0.13289981452820054","0.10686463017896453","","0.0009610067310974504","4313.143802807954","0.24060314169360203","SIGNAL_E1802_BANDED_70","-0.0001341339035688","0.2159996381368785","1.2592592592592593","5","65","11","0.3736120172266291","SIGNAL_E211_BANDED_68","0.0001012555869542606","-0.0002353894905230606","research_only","Session-phase classification was alive, but the executable baseline stayed below FLAT; the strongest classifier E1803 was economically much worse than the cleaner E1802 executable candidate"
"Native15mHoldingHorizon","E1903","Hold4Bars","0.6070648832522949","0.5832163359768442","","0.0008443445213692815","0.10692013463320049","0.08305665276607954","","0.0006681328502608917","6741.88202983546","0.1908211319206493","SIGNAL_E1902_BANDED_70","-0.0016108139104049","0.7235889474023819","3.382716049382716","10","32","39","0.8070154767035922","SIGNAL_E211_BANDED_68","0.0001012555869542606","-0.0017120694973591607","research_only","Holding-horizon research was alive and E1902 was the least-bad executable candidate, but explicit hold-duration matching still failed to produce a positive post-cost baseline"
"Native15mTopKEventRank","E2003","SectorLeaderCarryTopK","0.6067849843284833","0.582321134878414","","0.0010655325554618938","0.1070849396038141","0.08296675080299087","","0.001150935240098938","6741.88202983546","0.19111722296226688","","","","","","","","","SIGNAL_E211_BANDED_68","0.0001012555869542606","","research_only","Research was alive and classification improved, but live baseline evidence showed E2003/E2004 broadly negative, E2002_BANDED weak, and only marginal isolated positives in E2002_LONGONLY"
"SixtyMinuteDailyContext","E2201","DailyCarryContext","0.571551488124976","0.5577539690068156","","0.003482326754324493","0.07061277752155093","0.057384592551991354","","0.003721256377286322","3240.0","0.13147969682786678","SIGNAL_E2201_BANDED_70","-0.0018261473995522","0.6037986701253815","1.6296296296296295","2","14","11","0.917653928609168","SIGNAL_E211_BANDED_68","0.00010125558695426664","-0.00192740298650647","research_only","E2201 was the only eligible research survivor, but every executable E2201 policy stayed below FLAT and far below the incumbent benchmark"
PortfolioRank60m,E1003,SectorRelative,,,0.011914906479004854,0.00016965030655116073,,,0.011645845475310737,0.0002487098728209364,3240.0,0.011936967924769464,E1006_PORTFOLIO_TOP3_BOTTOM3,-0.0021876061506643633,1.7596685082872927,724,,,,0.060271662728267,SIGNAL_E211_BANDED_68,0.0001012555869542,-0.002288861737618563,research_only,Broad portfolio underperformance with high turnover; short book hurt more than long
"Native15mBreadthEvent","E2302","BreadthExpansionPersistence","0.5391964901260273","0.5270546797374717","","0.0007192402278572606","0.040110945275754484","0.027610201549659374","","0.00027808748634178834","6741.906817530619","0.06844038705327112","SIGNAL_E2302_BANDED_70","-0.00044532045311487247","0.2656089743301093","2.6","","","","","SIGNAL_E211_BANDED_68","0.00010125558695426664","-0.0005465760400691391","research_only","E2302 survived research honestly, but every tested T08 executable policy stayed below FLAT; branch-specific baseline summary only retained controls, so the verdict relies on the consolidated baseline_policy_summary output"
